Number,cset,alt,Choice,CL,SS,SOS,COST,SQ,Block,Q6K2,Q6K3,Q6K4,Benefit1,Benefit2,Benefit3,Tin2,size1,size2,AMED,Quant1,Quant2,Age2,Age3,Edu1,Edu2
16,1,2,0,10,-1,1,530,0,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
16,1,3,0,0,0,0,0,1,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
16,2,1,0,10,-1,-1,90,0,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
16,2,2,0,5,1,1,270,0,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
16,2,3,1,0,0,0,0,1,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
16,3,1,0,5,1,1,890,0,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
16,3,2,0,10,-1,-1,90,0,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
16,3,3,1,0,0,0,0,1,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
16,4,1,0,10,-1,1,530,0,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
16,4,2,1,5,1,-1,890,0,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
16,4,3,0,0,0,0,0,1,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
17,1,1,0,5,-1,1,90,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
17,1,2,1,10,1,-1,530,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
17,1,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
17,2,1,1,10,1,-1,530,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
17,2,2,0,5,-1,1,890,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
17,2,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
17,3,1,0,5,-1,1,270,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
17,3,2,1,10,1,-1,530,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
17,3,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
17,4,1,1,10,1,-1,270,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
17,4,2,0,5,-1,1,90,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
17,4,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
18,1,1,0,10,1,1,270,0,4,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
18,1,2,1,5,-1,-1,530,0,4,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
18,1,3,0,0,0,0,0,1,4,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
18,2,1,0,10,-1,1,890,0,4,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
18,2,2,0,5,1,-1,90,0,4,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
18,2,3,1,0,0,0,0,1,4,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
18,3,1,1,5,1,-1,90,0,4,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
18,3,2,0,10,-1,1,270,0,4,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
18,3,3,0,0,0,0,0,1,4,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
18,4,1,1,5,-1,-1,530,0,4,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
18,4,2,0,10,1,1,890,0,4,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
18,4,3,0,0,0,0,0,1,4,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
19,1,1,1,5,1,-1,270,0,3,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0
