Number,cset,alt,Choice,CL,SS,SOS,COST,SQ,Block,Q6K1,Q6K2,Q6K3,Q6K4,Q7FMRB,Q9Ct,Q9LY,Q9F,Q9AT,Q9R,Q9VB,Q9MH,Q9PP,Q10TF,Q10CH,Q10SG,Q10T,Q10AT,Q10CP
16,1,2,0,10,-1,1,530,0,3,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
16,1,3,0,0,0,0,0,1,3,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
16,2,1,0,10,-1,-1,90,0,3,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
16,2,2,0,5,1,1,270,0,3,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
16,2,3,1,0,0,0,0,1,3,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
16,3,1,0,5,1,1,890,0,3,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
16,3,2,0,10,-1,-1,90,0,3,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
16,3,3,1,0,0,0,0,1,3,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
16,4,1,0,10,-1,1,530,0,3,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
16,4,2,1,5,1,-1,890,0,3,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
16,4,3,0,0,0,0,0,1,3,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
17,1,1,0,5,-1,1,90,0,1,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
17,1,2,1,10,1,-1,530,0,1,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
17,1,3,0,0,0,0,0,1,1,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
17,2,1,1,10,1,-1,530,0,1,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
17,2,2,0,5,-1,1,890,0,1,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
17,2,3,0,0,0,0,0,1,1,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
17,3,1,0,5,-1,1,270,0,1,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
17,3,2,1,10,1,-1,530,0,1,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
17,3,3,0,0,0,0,0,1,1,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
17,4,1,1,10,1,-1,270,0,1,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
17,4,2,0,5,-1,1,90,0,1,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
17,4,3,0,0,0,0,0,1,1,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
18,1,1,0,10,1,1,270,0,4,1,0,1,1,1,1,4,3,5,7,6,8,2,3,1,4,2,6,5
18,1,2,1,5,-1,-1,530,0,4,1,0,1,1,1,1,4,3,5,7,6,8,2,3,1,4,2,6,5
18,1,3,0,0,0,0,0,1,4,1,0,1,1,1,1,4,3,5,7,6,8,2,3,1,4,2,6,5
18,2,1,0,10,-1,1,890,0,4,1,0,1,1,1,1,4,3,5,7,6,8,2,3,1,4,2,6,5
18,2,2,0,5,1,-1,90,0,4,1,0,1,1,1,1,4,3,5,7,6,8,2,3,1,4,2,6,5
18,2,3,1,0,0,0,0,1,4,1,0,1,1,1,1,4,3,5,7,6,8,2,3,1,4,2,6,5
18,3,1,1,5,1,-1,90,0,4,1,0,1,1,1,1,4,3,5,7,6,8,2,3,1,4,2,6,5
18,3,2,0,10,-1,1,270,0,4,1,0,1,1,1,1,4,3,5,7,6,8,2,3,1,4,2,6,5
18,3,3,0,0,0,0,0,1,4,1,0,1,1,1,1,4,3,5,7,6,8,2,3,1,4,2,6,5
18,4,1,1,5,-1,-1,530,0,4,1,0,1,1,1,1,4,3,5,7,6,8,2,3,1,4,2,6,5
18,4,2,0,10,1,1,890,0,4,1,0,1,1,1,1,4,3,5,7,6,8,2,3,1,4,2,6,5
18,4,3,0,0,0,0,0,1,4,1,0,1,1,1,1,4,3,5,7,6,8,2,3,1,4,2,6,5
19,1,1,1,5,1,-1,270,0,3,1,0,1,0,1,7,4,3,1,2,8,5,6,4,5,1,2,3,6
19,1,2,0,10,-1,1,530,0,3,1,0,1,0,1,7,4,3,1,2,8,5,6,4,5,1,2,3,6
19,1,3,0,0,0,0,0,1,3,1,0,1,0,1,7,4,3,1,2,8,5,6,4,5,1,2,3,6
19,2,1,1,10,-1,-1,90,0,3,1,0,1,0,1,7,4,3,1,2,8,5,6,4,5,1,2,3,6
19,2,2,0,5,1,1,270,0,3,1,0,1,0,1,7,4,3,1,2,8,5,6,4,5,1,2,3,6
19,2,3,0,0,0,0,0,1,3,1,0,1,0,1,7,4,3,1,2,8,5,6,4,5,1,2,3,6
19,3,1,0,5,1,1,890,0,3,1,0,1,0,1,7,4,3,1,2,8,5,6,4,5,1,2,3,6
19,3,2,1,10,-1,-1,90,0,3,1,0,1,0,1,7,4,3,1,2,8,5,6,4,5,1,2,3,6
19,3,3,0,0,0,0,0,1,3,1,0,1,0,1,7,4,3,1,2,8,5,6,4,5,1,2,3,6
